#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
6.0%	30000	2339.7492291241842	297.97490542193304	0	--
8.0%	40000	2419.068740650938	300.27467744860905	1.97e+04	0:10
10.0%	50000	2375.781447255022	292.7578321172238	2.03e+04	0:09
12.0%	60000	2226.598492841449	308.14116359516635	2.02e+04	0:09
14.0%	70000	2452.8351474269434	303.2928521728222	2.01e+04	0:09
16.0%	80000	2389.8736437614853	298.96863876720585	2e+04	0:09
18.0%	90000	2411.041311088428	298.5819558955689	2e+04	0:08
20.0%	100000	2458.158918453734	299.9718780421246	2.01e+04	0:08
22.0%	110000	2280.8778259244273	295.68612010172836	2.02e+04	0:08
24.0%	120000	2356.7966374297353	297.5961570413706	2.03e+04	0:08
26.0%	130000	2281.9780823803303	289.43393523273295	2.04e+04	0:07
28.0%	140000	2291.4335306562334	291.66978961552917	2.04e+04	0:07
30.0%	150000	2362.4009431988193	293.93802078805095	2.05e+04	0:07
32.0%	160000	2495.23224574507	294.009731115605	2.05e+04	0:07
34.0%	170000	2454.519653085586	298.1554587830364	2.06e+04	0:06
36.0%	180000	2409.764413077418	297.4893053387911	2.06e+04	0:06
38.0%	190000	2547.114176680591	295.48331107425145	2.07e+04	0:06
40.0%	200000	2254.2555587023103	295.5199929096214	2.07e+04	0:06
42.0%	210000	2330.114711489354	296.8048660208873	2.07e+04	0:06
44.0%	220000	2425.02236674172	292.93435706803854	2.07e+04	0:05
46.0%	230000	2330.2011495713973	304.67206998980856	2.07e+04	0:05
48.0%	240000	2430.458777301961	292.3156176726882	2.07e+04	0:05
50.0%	250000	2348.710161146424	294.7484921029762	2.07e+04	0:05
52.0%	260000	2271.59757343257	297.68678851733966	2.07e+04	0:05
54.0%	270000	2408.2730724216526	304.2741762891801	2.07e+04	0:04
56.0%	280000	2368.8917314047117	297.22165920777667	2.07e+04	0:04
58.0%	290000	2169.912815268811	294.818021009947	2.07e+04	0:04
60.0%	300000	2260.9487967560226	303.89539466898833	2.07e+04	0:04
62.0%	310000	2384.0213930144982	305.5545846401731	2.07e+04	0:03
64.0%	320000	2364.383708961491	282.35144197777953	2.07e+04	0:03
66.0%	330000	2418.570453376127	301.32722568027265	2.07e+04	0:03
68.0%	340000	2363.566805645752	303.2260883912097	2.07e+04	0:03
70.0%	350000	2438.3581167344582	300.6202455181491	2.07e+04	0:03
72.0%	360000	2393.031594275606	301.62396364528416	2.08e+04	0:02
74.0%	370000	2359.505981879212	297.6547651872859	2.08e+04	0:02
76.0%	380000	2403.7814232746177	287.4847147910552	2.08e+04	0:02
78.0%	390000	2351.3605292726197	298.3564256838749	2.08e+04	0:02
80.0%	400000	2274.311052493109	300.8976025562551	2.08e+04	0:02
82.0%	410000	2448.9146321200296	303.1592596399769	2.08e+04	0:01
84.0%	420000	2342.2353891168027	308.9691688999586	2.08e+04	0:01
86.0%	430000	2338.1484195605844	296.7250142318143	2.08e+04	0:01
88.0%	440000	2533.512899034309	298.9191266992943	2.08e+04	0:01
90.0%	450000	2367.198952249425	293.5855849968435	2.08e+04	0:01
92.0%	460000	2308.3738129977437	291.750375079189	2.08e+04	0:00
94.0%	470000	2360.9879620200013	302.27836970026425	2.08e+04	0:00
96.0%	480000	2332.8690173769496	291.6769399651985	2.08e+04	0:00
98.0%	490000	2299.4378632549347	307.58246631858583	2.08e+04	0:00
100.0%	500000	2306.4934021181525	296.7661294465456	2.08e+04	0:00
102.0%	510000	2374.3197286064674	301.21088679139183	2.08e+04	0:00
104.0%	520000	2165.3299739216372	300.50769082483174	2.08e+04	0:00
